longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,,
-85.368234,42.413172,1.2,2009/10/19,18:58:22+00,82,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368262,42.413172,1.7,2009/10/19,18:58:21+00,83,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368284,42.41318,2,2009/10/19,18:58:20+00,83,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368304,42.413194,1.9,2009/10/19,18:58:19+00,79,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368309,42.413214,1.9,2009/10/19,18:58:18+00,79,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368309,42.41323,2.1,2009/10/19,18:58:17+00,78,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368304,42.41325,2.3,2009/10/19,18:58:16+00,79,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368298,42.413266,3.2,2009/10/19,18:58:15+00,79,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368298,42.413286,3.9,2009/10/19,18:58:14+00,78,180,13.63,1,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368298,42.413305,3.3,2009/10/19,18:58:13+00,79,180,13.63,1,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368298,42.413325,3.2,2009/10/19,18:58:12+00,78,180,13.63,1,7,5648,F1: T4R5-East,L1: ,Soybeans,,
